idx,ts,level,eff,touch_count,bounce_count,direction,K,D,kd_sep,sticky,clean4,clean8,next_retrace
882,1782145380,1.13894,0.991,43,36,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13918,0.988,42,35,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13907,1.0,40,34,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13908,1.0,40,34,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13904,1.0,41,35,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13902,1.0,41,35,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13948,1.0,35,30,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13942,1.0,37,32,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13945,1.0,36,31,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13898,1.0,40,34,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.139,1.0,40,34,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13913,0.988,42,35,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13932,1.0,42,38,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13928,1.0,44,40,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.1393,1.0,43,39,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13937,1.0,40,36,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13934,1.0,42,38,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13935,1.0,42,38,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
