duration,t_first_brake,t_first_cross,t_back_extreme,n_cross,n_brake,max_kd_sep,mean_kd_sep,mean_slope
26,2.0,4.0,2,3,2,8.09,4.4,-2.783
32,8.0,3.0,2,7,4,13.42,5.84,-1.998
47,7.0,2.0,34,5,6,20.88,5.5,-1.452
10,9.0,1.0,2,1,1,16.02,7.26,7.576
11,11.0,1.0,11,1,1,8.97,5.7,-5.975
121,11.0,4.0,2,26,15,13.19,4.37,0.02
67,14.0,6.0,2,13,12,14.65,5.06,1.011
13,1.0,1.0,13,1,2,10.13,5.12,-5.319
55,1.0,2.0,2,11,6,13.76,3.62,1.333
34,11.0,1.0,34,7,3,15.61,5.25,-2.01
32,1.0,1.0,2,9,7,17.9,3.89,2.185
15,14.0,2.0,2,3,1,13.49,5.19,-5.242
14,8.0,2.0,2,1,2,11.72,5.54,5.511
10,1.0,1.0,2,3,1,19.77,6.68,-6.746
19,1.0,6.0,2,3,2,17.18,4.5,3.487
17,16.0,2.0,2,3,1,22.3,5.71,3.997
76,16.0,1.0,19,19,9,12.02,4.1,-0.947
36,5.0,2.0,2,5,6,14.62,5.99,1.966
19,6.0,3.0,2,3,3,12.17,4.19,-3.617
10,1.0,2.0,10,1,2,18.6,6.53,6.763
29,3.0,6.0,2,3,2,15.51,5.67,-2.545
60,3.0,8.0,2,13,5,17.93,3.5,1.091
50,8.0,2.0,2,9,8,16.4,5.58,-1.368
12,1.0,2.0,2,1,2,12.77,5.44,5.612
13,2.0,1.0,4,3,2,11.8,6.2,-5.357
23,10.0,2.0,2,3,3,18.55,7.13,3.334
18,2.0,2.0,2,7,2,16.74,4.29,-3.874
36,4.0,2.0,27,7,5,17.22,5.06,1.879
28,1.0,2.0,2,3,4,14.95,6.46,-2.516
29,1.0,3.0,2,7,5,11.2,3.56,2.461
37,17.0,2.0,2,5,5,17.12,4.93,-2.105
72,13.0,3.0,2,13,6,13.46,3.47,1.064
11,2.0,1.0,11,1,4,8.71,6.2,-6.489
9,5.0,1.0,2,1,1,17.96,6.74,7.337
68,20.0,2.0,2,15,7,22.74,5.16,-1.096
70,15.0,2.0,2,13,8,13.38,4.55,1.053
7,4.0,2.0,7,1,1,16.12,9.11,8.925
17,1.0,3.0,2,3,2,11.51,5.61,-3.834
13,11.0,1.0,13,5,1,14.56,5.11,4.988
7,3.0,1.0,7,1,1,14.49,8.78,-8.889
80,8.0,3.0,2,17,11,12.83,4.33,0.773
